ZH	Abk. Kanton Zürich
Andwil	Gde. im Kr. St.Gallen, Kt. St.Gallen
Gaiserwald	Gde. im Kr. St.Gallen, Kt. St.Gallen
Gossau	Gde. im Kr. St.Gallen, Kt. St.Gallen
Waldkirch	Gde. im Kr. St.Gallen, Kt. St.Gallen
Alvaschein	Gde. im Bez. Albula, Kt. Graubünden
Mon	Gde. im Bez. Albula, Kt. Graubünden
Mutten	Gde. im Bez. Albula, Kt. Graubünden
Stierva	Gde. im Bez. Albula, Kt. Graubünden
Tiefencastel	Gde. im Bez. Albula, Kt. Graubünden
VazObervaz	Gde. im Bez. Albula, Kt. Graubünden
Alvaneu	Gde. im Bez. Albula, Kt. Graubünden
BrienzBrinzauls	Gde. im Bez. Albula, Kt. Graubünden
LantschLenz	Gde. im Bez. Albula, Kt. Graubünden
Schmitten	Gde. im Bez. Albula, Kt. Graubünden
Surava	Gde. im Bez. Albula, Kt. Graubünden
BergünBravuogn	Gde. im Bez. Albula, Kt. Graubünden
Filisur	Gde. im Bez. Albula, Kt. Graubünden
Bivio	Gde. im Bez. Albula, Kt. Graubünden
Cunter	Gde. im Bez. Albula, Kt. Graubünden
Marmorera	Gde. im Bez. Albula, Kt. Graubünden
Mulegns	Gde. im Bez. Albula, Kt. Graubünden
Riom-Parsonz	Gde. im Bez. Albula, Kt. Graubünden
Salouf	Gde. im Bez. Albula, Kt. Graubünden
Savognin	Gde. im Bez. Albula, Kt. Graubünden
Sur	Gde. im Bez. Albula, Kt. Graubünden
Tinizong-Rona	Gde. im Bez. Albula, Kt. Graubünden
Brusio	Gde. im Bez. Bernina, Kt. Graubünden
Poschiavo	Gde. im Bez. Bernina, Kt. Graubünden
Castrisch	Gde. im Bez. Surselva, Kt. Graubünden
Falera	Gde. im Bez. Surselva, Kt. Graubünden
Ilanz	Gde. im Bez. Surselva, Kt. Graubünden
Laax	Gde. im Bez. Surselva, Kt. Graubünden
Ladir	Gde. im Bez. Surselva, Kt. Graubünden
Luven	Gde. im Bez. Surselva, Kt. Graubünden
Pitasch	Gde. im Bez. Surselva, Kt. Graubünden
Riein	Gde. im Bez. Surselva, Kt. Graubünden
Ruschein	Gde. im Bez. Surselva, Kt. Graubünden
Sagogn	Gde. im Bez. Surselva, Kt. Graubünden
Schluein	Gde. im Bez. Surselva, Kt. Graubünden
Schnaus	Gde. im Bez. Surselva, Kt. Graubünden
Sevgein	Gde. im Bez. Surselva, Kt. Graubünden
Valendas	Gde. im Bez. Surselva, Kt. Graubünden
Versam	Gde. im Bez. Surselva, Kt. Graubünden
Cumbel	Gde. im Bez. Surselva, Kt. Graubünden
Duvin	Gde. im Bez. Surselva, Kt. Graubünden
Degen	Gde. im Bez. Surselva, Kt. Graubünden
Lumbrein	Gde. im Bez. Surselva, Kt. Graubünden
Morissen	Gde. im Bez. Surselva, Kt. Graubünden
St.Martin	Gde. im Bez. Surselva, Kt. Graubünden
Suraua	Gde. im Bez. Surselva, Kt. Graubünden
Vals	Gde. im Bez. Surselva, Kt. Graubünden
Vignogn	Gde. im Bez. Surselva, Kt. Graubünden
Vella	Gde. im Bez. Surselva, Kt. Graubünden
Vrin	Gde. im Bez. Surselva, Kt. Graubünden
Andiast	Gde. im Bez. Surselva, Kt. Graubünden
Obersaxen	Gde. im Bez. Surselva, Kt. Graubünden
Pigniu	Gde. im Bez. Surselva, Kt. Graubünden
Rueun	Gde. im Bez. Surselva, Kt. Graubünden
Siat	Gde. im Bez. Surselva, Kt. Graubünden
WaltensburgVuorz	Gde. im Bez. Surselva, Kt. Graubünden
Mundaun	Gde. im Bez. Surselva, Kt. Graubünden
Almens	Gde. im Bez. Hinterrhein, Kt. Graubünden
Fürstenau	Gde. im Bez. Hinterrhein, Kt. Graubünden
Paspels	Gde. im Bez. Hinterrhein, Kt. Graubünden
Pratval	Gde. im Bez. Hinterrhein, Kt. Graubünden
Rodels	Gde. im Bez. Hinterrhein, Kt. Graubünden
Rothenbrunnen	Gde. im Bez. Hinterrhein, Kt. Graubünden
Scharans	Gde. im Bez. Hinterrhein, Kt. Graubünden
Sils im Domleschg	Gde. im Bez. Hinterrhein, Kt. Graubünden
Safien	Gde. im Bez. Surselva, Kt. Graubünden
Tenna	Gde. im Bez. Surselva, Kt. Graubünden
Cazis	Gde. im Bez. Hinterrhein, Kt. Graubünden
Flerden	Gde. im Bez. Hinterrhein, Kt. Graubünden
Masein	Gde. im Bez. Hinterrhein, Kt. Graubünden
Thusis	Gde. im Bez. Hinterrhein, Kt. Graubünden
Tschappina	Gde. im Bez. Hinterrhein, Kt. Graubünden
Urmein	Gde. im Bez. Hinterrhein, Kt. Graubünden
Tomils	Gde. im Bez. Hinterrhein, Kt. Graubünden
Avers	Gde. im Bez. Hinterrhein, Kt. Graubünden
Hinterrhein	Gde. im Bez. Hinterrhein, Kt. Graubünden
Nufenen	Gde. im Bez. Hinterrhein, Kt. Graubünden
Splügen	Gde. im Bez. Hinterrhein, Kt. Graubünden
Sufers	Gde. im Bez. Hinterrhein, Kt. Graubünden
Andeer	Gde. im Bez. Hinterrhein, Kt. Graubünden
Casti-Wergenstein	Gde. im Bez. Hinterrhein, Kt. Graubünden
Donat	Gde. im Bez. Hinterrhein, Kt. Graubünden
Lohn	Gde. im Bez. Hinterrhein, Kt. Graubünden
Mathon	Gde. im Bez. Hinterrhein, Kt. Graubünden
Rongellen	Gde. im Bez. Hinterrhein, Kt. Graubünden
Zillis-Reischen	Gde. im Bez. Hinterrhein, Kt. Graubünden
Ferrera	Gde. im Bez. Hinterrhein, Kt. Graubünden
Bonaduz	Gde. im Bez. Imboden, Kt. Graubünden
DomatEms	Gde. im Bez. Imboden, Kt. Graubünden
Rhäzüns	Gde. im Bez. Imboden, Kt. Graubünden
Felsberg	Gde. im Bez. Imboden, Kt. Graubünden
Flims	Gde. im Bez. Imboden, Kt. Graubünden
Tamins	Gde. im Bez. Imboden, Kt. Graubünden
Trin	Gde. im Bez. Imboden, Kt. Graubünden
Ardez	Gde. im Bez. Inn, Kt. Graubünden
Guarda	Gde. im Bez. Inn, Kt. Graubünden
Lavin	Gde. im Bez. Inn, Kt. Graubünden
Susch	Gde. im Bez. Inn, Kt. Graubünden
Tarasp	Gde. im Bez. Inn, Kt. Graubünden
Zernez	Gde. im Bez. Inn, Kt. Graubünden
Ramosch	Gde. im Bez. Inn, Kt. Graubünden
Samnaun	Gde. im Bez. Inn, Kt. Graubünden
Tschlin	Gde. im Bez. Inn, Kt. Graubünden
Ftan	Gde. im Bez. Inn, Kt. Graubünden
Scuol	Gde. im Bez. Inn, Kt. Graubünden
Sent	Gde. im Bez. Inn, Kt. Graubünden
Bever	Gde. im Bez. Maloja, Kt. Graubünden
CelerinaSchlarigna	Gde. im Bez. Maloja, Kt. Graubünden
Madulain	Gde. im Bez. Maloja, Kt. Graubünden
Pontresina	Gde. im Bez. Maloja, Kt. Graubünden
La Punt-Chamues-ch	Gde. im Bez. Maloja, Kt. Graubünden
Samedan	Gde. im Bez. Maloja, Kt. Graubünden
St.Moritz	Gde. im Bez. Maloja, Kt. Graubünden
S-chanf	Gde. im Bez. Maloja, Kt. Graubünden
Sils im EngadinSegl	Gde. im Bez. Maloja, Kt. Graubünden
Silvaplana	Gde. im Bez. Maloja, Kt. Graubünden
Zuoz	Gde. im Bez. Maloja, Kt. Graubünden
Bregaglia	Gde. im Bez. Maloja, Kt. Graubünden
Arvigo	Gde. im Bez. Moesa, Kt. Graubünden
Braggio	Gde. im Bez. Moesa, Kt. Graubünden
Buseno	Gde. im Bez. Moesa, Kt. Graubünden
Castaneda	Gde. im Bez. Moesa, Kt. Graubünden
Cauco	Gde. im Bez. Moesa, Kt. Graubünden
Rossa	Gde. im Bez. Moesa, Kt. Graubünden
Santa Maria in Calanca	Gde. im Bez. Moesa, Kt. Graubünden
Selma	Gde. im Bez. Moesa, Kt. Graubünden
Lostallo	Gde. im Bez. Moesa, Kt. Graubünden
Mesocco	Gde. im Bez. Moesa, Kt. Graubünden
Soazza	Gde. im Bez. Moesa, Kt. Graubünden
Cama	Gde. im Bez. Moesa, Kt. Graubünden
Grono	Gde. im Bez. Moesa, Kt. Graubünden
Leggia	Gde. im Bez. Moesa, Kt. Graubünden
Roveredo	Gde. im Bez. Moesa, Kt. Graubünden
San Vittore	Gde. im Bez. Moesa, Kt. Graubünden
Verdabbio	Gde. im Bez. Moesa, Kt. Graubünden
Val Müstair	Gde. im Bez. Inn, Kt. Graubünden
Davos	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Fideris	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Furna	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Jenaz	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Klosters-Serneus	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Conters im Prättigau	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Küblis	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Saas	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Luzein	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
St.Antönien	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Chur	Gde. im Bez. Plessur, Kt. Graubünden
Churwalden	Gde. im Bez. Plessur, Kt. Graubünden
Arosa	Gde. im Bez. Plessur, Kt. Graubünden
Calfreisen	Gde. im Bez. Plessur, Kt. Graubünden
Castiel	Gde. im Bez. Plessur, Kt. Graubünden
Langwies	Gde. im Bez. Plessur, Kt. Graubünden
Lüen	Gde. im Bez. Plessur, Kt. Graubünden
Maladers	Gde. im Bez. Plessur, Kt. Graubünden
Molinis	Gde. im Bez. Plessur, Kt. Graubünden
Peist	Gde. im Bez. Plessur, Kt. Graubünden
St.Peter-Pagig	Gde. im Bez. Plessur, Kt. Graubünden
Tschiertschen-Praden	Gde. im Bez. Plessur, Kt. Graubünden
Haldenstein	Gde. im Bez. Landquart, Kt. Graubünden
Igis	Gde. im Bez. Landquart, Kt. Graubünden
Mastrils	Gde. im Bez. Landquart, Kt. Graubünden
Trimmis	Gde. im Bez. Landquart, Kt. Graubünden
Untervaz	Gde. im Bez. Landquart, Kt. Graubünden
Zizers	Gde. im Bez. Landquart, Kt. Graubünden
Fläsch	Gde. im Bez. Landquart, Kt. Graubünden
Jenins	Gde. im Bez. Landquart, Kt. Graubünden
Maienfeld	Gde. im Bez. Landquart, Kt. Graubünden
Malans	Gde. im Bez. Landquart, Kt. Graubünden
Grüsch	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Schiers	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
Seewis im Prättigau	Gde. im Bez. Prättigau-Davos, Kt. Graubünden
BreilBrigels	Gde. im Bez. Surselva, Kt. Graubünden
DisentisMustér	Gde. im Bez. Surselva, Kt. Graubünden
Medel	Gde. im Bez. Surselva, Kt. Graubünden
Schlans	Gde. im Bez. Surselva, Kt. Graubünden
Sumvitg	Gde. im Bez. Surselva, Kt. Graubünden
Tujetsch	Gde. im Bez. Surselva, Kt. Graubünden
Trun	Gde. im Bez. Surselva, Kt. Graubünden
Aarau	Gde. im Bez. Aarau, Kt. Aargau
Biberstein	Gde. im Bez. Aarau, Kt. Aargau
Buchs	Gde. im Bez. Aarau, Kt. Aargau
Densbüren	Gde. im Bez. Aarau, Kt. Aargau
Erlinsbach	Gde. im Bez. Aarau, Kt. Aargau
Gränichen	Gde. im Bez. Aarau, Kt. Aargau
Hirschthal	Gde. im Bez. Aarau, Kt. Aargau
Küttigen	Gde. im Bez. Aarau, Kt. Aargau
Muhen	Gde. im Bez. Aarau, Kt. Aargau
Oberentfelden	Gde. im Bez. Aarau, Kt. Aargau
Suhr	Gde. im Bez. Aarau, Kt. Aargau
Unterentfelden	Gde. im Bez. Aarau, Kt. Aargau
Baden	Gde. im Bez. Baden, Kt. Aargau
Bellikon	Gde. im Bez. Baden, Kt. Aargau
Bergdietikon	Gde. im Bez. Baden, Kt. Aargau
Birmenstorf	Gde. im Bez. Baden, Kt. Aargau
Ennetbaden	Gde. im Bez. Baden, Kt. Aargau
Fislisbach	Gde. im Bez. Baden, Kt. Aargau
Freienwil	Gde. im Bez. Baden, Kt. Aargau
Gebenstorf	Gde. im Bez. Baden, Kt. Aargau
Killwangen	Gde. im Bez. Baden, Kt. Aargau
Künten	Gde. im Bez. Baden, Kt. Aargau
Mägenwil	Gde. im Bez. Baden, Kt. Aargau
Mellingen	Gde. im Bez. Baden, Kt. Aargau
Neuenhof	Gde. im Bez. Baden, Kt. Aargau
Niederrohrdorf	Gde. im Bez. Baden, Kt. Aargau
Oberrohrdorf	Gde. im Bez. Baden, Kt. Aargau
Obersiggenthal	Gde. im Bez. Baden, Kt. Aargau
Remetschwil	Gde. im Bez. Baden, Kt. Aargau
Spreitenbach	Gde. im Bez. Baden, Kt. Aargau
Stetten	Gde. im Bez. Baden, Kt. Aargau
Turgi	Gde. im Bez. Baden, Kt. Aargau
Untersiggenthal	Gde. im Bez. Baden, Kt. Aargau
Wettingen	Gde. im Bez. Baden, Kt. Aargau
Wohlenschwil	Gde. im Bez. Baden, Kt. Aargau
Würenlingen	Gde. im Bez. Baden, Kt. Aargau
Würenlos	Gde. im Bez. Baden, Kt. Aargau
Ehrendingen	Gde. im Bez. Baden, Kt. Aargau
Arni	Gde. im Bez. Bremgarten, Kt. Aargau
Berikon	Gde. im Bez. Bremgarten, Kt. Aargau
Bremgarten	Gde. im Bez. Bremgarten, Kt. Aargau
Büttikon	Gde. im Bez. Bremgarten, Kt. Aargau
Dottikon	Gde. im Bez. Bremgarten, Kt. Aargau
Eggenwil	Gde. im Bez. Bremgarten, Kt. Aargau
Fischbach-Göslikon	Gde. im Bez. Bremgarten, Kt. Aargau
Hägglingen	Gde. im Bez. Bremgarten, Kt. Aargau
Hermetschwil-Staffeln	Gde. im Bez. Bremgarten, Kt. Aargau
Jonen	Gde. im Bez. Bremgarten, Kt. Aargau
Niederwil	Gde. im Bez. Bremgarten, Kt. Aargau
Oberlunkhofen	Gde. im Bez. Bremgarten, Kt. Aargau
Oberwil-Lieli	Gde. im Bez. Bremgarten, Kt. Aargau
Rudolfstetten-Friedlisberg	Gde. im Bez. Bremgarten, Kt. Aargau
Sarmenstorf	Gde. im Bez. Bremgarten, Kt. Aargau
Tägerig	Gde. im Bez. Bremgarten, Kt. Aargau
Uezwil	Gde. im Bez. Bremgarten, Kt. Aargau
Unterlunkhofen	Gde. im Bez. Bremgarten, Kt. Aargau
Villmergen	Gde. im Bez. Bremgarten, Kt. Aargau
Widen	Gde. im Bez. Bremgarten, Kt. Aargau
Wohlen	Gde. im Bez. Bremgarten, Kt. Aargau
Zufikon	Gde. im Bez. Bremgarten, Kt. Aargau
Islisberg	Gde. im Bez. Bremgarten, Kt. Aargau
Auenstein	Gde. im Bez. Brugg, Kt. Aargau
Birr	Gde. im Bez. Brugg, Kt. Aargau
Birrhard	Gde. im Bez. Brugg, Kt. Aargau
Bözen	Gde. im Bez. Brugg, Kt. Aargau
Brugg	Gde. im Bez. Brugg, Kt. Aargau
Effingen	Gde. im Bez. Brugg, Kt. Aargau
Elfingen	Gde. im Bez. Brugg, Kt. Aargau
Gallenkirch	Gde. im Bez. Brugg, Kt. Aargau
Habsburg	Gde. im Bez. Brugg, Kt. Aargau
Hausen	Gde. im Bez. Brugg, Kt. Aargau
Linn	Gde. im Bez. Brugg, Kt. Aargau
Lupfig	Gde. im Bez. Brugg, Kt. Aargau
Mandach	Gde. im Bez. Brugg, Kt. Aargau
Mönthal	Gde. im Bez. Brugg, Kt. Aargau
Mülligen	Gde. im Bez. Brugg, Kt. Aargau
Oberbözberg	Gde. im Bez. Brugg, Kt. Aargau
Oberflachs	Gde. im Bez. Brugg, Kt. Aargau
Remigen	Gde. im Bez. Brugg, Kt. Aargau
Riniken	Gde. im Bez. Brugg, Kt. Aargau
Rüfenach	Gde. im Bez. Brugg, Kt. Aargau
Scherz	Gde. im Bez. Brugg, Kt. Aargau
Schinznach-Bad	Gde. im Bez. Brugg, Kt. Aargau
Schinznach-Dorf	Gde. im Bez. Brugg, Kt. Aargau
Thalheim	Gde. im Bez. Brugg, Kt. Aargau
Unterbözberg	Gde. im Bez. Brugg, Kt. Aargau
Veltheim	Gde. im Bez. Brugg, Kt. Aargau
Villigen	Gde. im Bez. Brugg, Kt. Aargau
Villnachern	Gde. im Bez. Brugg, Kt. Aargau
Windisch	Gde. im Bez. Brugg, Kt. Aargau
Beinwil am See	Gde. im Bez. Kulm, Kt. Aargau
Beinwil	Gde. im Bez. Kulm, Kt. Aargau
Birrwil	Gde. im Bez. Kulm, Kt. Aargau
Burg	Gde. im Bez. Kulm, Kt. Aargau
Dürrenäsch	Gde. im Bez. Kulm, Kt. Aargau
Gontenschwil	Gde. im Bez. Kulm, Kt. Aargau
Holziken	Gde. im Bez. Kulm, Kt. Aargau
Leimbach	Gde. im Bez. Kulm, Kt. Aargau
Leutwil	Gde. im Bez. Kulm, Kt. Aargau
Menziken	Gde. im Bez. Kulm, Kt. Aargau
Oberkulm	Gde. im Bez. Kulm, Kt. Aargau
Reinach	Gde. im Bez. Kulm, Kt. Aargau
Schlossrued	Gde. im Bez. Kulm, Kt. Aargau
Schmiedrued	Gde. im Bez. Kulm, Kt. Aargau
Schöftland	Gde. im Bez. Kulm, Kt. Aargau
Teufenthal	Gde. im Bez. Kulm, Kt. Aargau
Unterkulm	Gde. im Bez. Kulm, Kt. Aargau
Zetzwil	Gde. im Bez. Kulm, Kt. Aargau
Eiken	Gde. im Bez. Laufenburg, Kt. Aargau
Frick	Gde. im Bez. Laufenburg, Kt. Aargau
Gansingen	Gde. im Bez. Laufenburg, Kt. Aargau
Gipf-Oberfrick	Gde. im Bez. Laufenburg, Kt. Aargau
Herznach	Gde. im Bez. Laufenburg, Kt. Aargau
Hornussen	Gde. im Bez. Laufenburg, Kt. Aargau
Kaisten	Gde. im Bez. Laufenburg, Kt. Aargau
Laufenburg	Gde. im Bez. Laufenburg, Kt. Aargau
Münchwilen	Gde. im Bez. Laufenburg, Kt. Aargau
Oberhof	Gde. im Bez. Laufenburg, Kt. Aargau
Oeschgen	Gde. im Bez. Laufenburg, Kt. Aargau
Schwaderloch	Gde. im Bez. Laufenburg, Kt. Aargau
Sisseln	Gde. im Bez. Laufenburg, Kt. Aargau
Ueken	Gde. im Bez. Laufenburg, Kt. Aargau
Wittnau	Gde. im Bez. Laufenburg, Kt. Aargau
Wölflinswil	Gde. im Bez. Laufenburg, Kt. Aargau
Zeihen	Gde. im Bez. Laufenburg, Kt. Aargau
Mettauertal	Gde. im Bez. Laufenburg, Kt. Aargau
Ammerswil	Gde. im Bez. Lenzburg, Kt. Aargau
Boniswil	Gde. im Bez. Lenzburg, Kt. Aargau
Brunegg	Gde. im Bez. Lenzburg, Kt. Aargau
Dintikon	Gde. im Bez. Lenzburg, Kt. Aargau
Egliswil	Gde. im Bez. Lenzburg, Kt. Aargau
Fahrwangen	Gde. im Bez. Lenzburg, Kt. Aargau
Hallwil	Gde. im Bez. Lenzburg, Kt. Aargau
Hendschiken	Gde. im Bez. Lenzburg, Kt. Aargau
Holderbank	Gde. im Bez. Lenzburg, Kt. Aargau
Hunzenschwil	Gde. im Bez. Lenzburg, Kt. Aargau
Lenzburg	Gde. im Bez. Lenzburg, Kt. Aargau
Meisterschwanden	Gde. im Bez. Lenzburg, Kt. Aargau
Möriken-Wildegg	Gde. im Bez. Lenzburg, Kt. Aargau
Niederlenz	Gde. im Bez. Lenzburg, Kt. Aargau
Othmarsingen	Gde. im Bez. Lenzburg, Kt. Aargau
Rupperswil	Gde. im Bez. Lenzburg, Kt. Aargau
Schafisheim	Gde. im Bez. Lenzburg, Kt. Aargau
Seengen	Gde. im Bez. Lenzburg, Kt. Aargau
Seon	Gde. im Bez. Lenzburg, Kt. Aargau
Staufen	Gde. im Bez. Lenzburg, Kt. Aargau
Abtwil	Gde. im Bez. Muri, Kt. Aargau
Aristau	Gde. im Bez. Muri, Kt. Aargau
Auw	Gde. im Bez. Muri, Kt. Aargau
Beinwil	Gde. im Bez. Muri, Kt. Aargau
Benzenschwil	Gde. im Bez. Muri, Kt. Aargau
Besenbüren	Gde. im Bez. Muri, Kt. Aargau
Bettwil	Gde. im Bez. Muri, Kt. Aargau
Boswil	Gde. im Bez. Muri, Kt. Aargau
Bünzen	Gde. im Bez. Muri, Kt. Aargau
Buttwil	Gde. im Bez. Muri, Kt. Aargau
Dietwil	Gde. im Bez. Muri, Kt. Aargau
Geltwil	Gde. im Bez. Muri, Kt. Aargau
Kallern	Gde. im Bez. Muri, Kt. Aargau
Merenschwand	Gde. im Bez. Muri, Kt. Aargau
Mühlau	Gde. im Bez. Muri, Kt. Aargau
Muri	Gde. im Bez. Muri, Kt. Aargau
Oberrüti	Gde. im Bez. Muri, Kt. Aargau
Rottenschwil	Gde. im Bez. Muri, Kt. Aargau
Sins	Gde. im Bez. Muri, Kt. Aargau
Waltenschwil	Gde. im Bez. Muri, Kt. Aargau
Hellikon	Gde. im Bez. Rheinfelden, Kt. Aargau
Kaiseraugst	Gde. im Bez. Rheinfelden, Kt. Aargau
Magden	Gde. im Bez. Rheinfelden, Kt. Aargau
Möhlin	Gde. im Bez. Rheinfelden, Kt. Aargau
Mumpf	Gde. im Bez. Rheinfelden, Kt. Aargau
Obermumpf	Gde. im Bez. Rheinfelden, Kt. Aargau
Olsberg	Gde. im Bez. Rheinfelden, Kt. Aargau
Rheinfelden	Gde. im Bez. Rheinfelden, Kt. Aargau
Schupfart	Gde. im Bez. Rheinfelden, Kt. Aargau
Stein	Gde. im Bez. Rheinfelden, Kt. Aargau
Wallbach	Gde. im Bez. Rheinfelden, Kt. Aargau
Wegenstetten	Gde. im Bez. Rheinfelden, Kt. Aargau
Zeiningen	Gde. im Bez. Rheinfelden, Kt. Aargau
Zuzgen	Gde. im Bez. Rheinfelden, Kt. Aargau
Aarburg	Gde. im Bez. Zofingen, Kt. Aargau
Attelwil	Gde. im Bez. Zofingen, Kt. Aargau
Bottenwil	Gde. im Bez. Zofingen, Kt. Aargau
Brittnau	Gde. im Bez. Zofingen, Kt. Aargau
Kirchleerau	Gde. im Bez. Zofingen, Kt. Aargau
Kölliken	Gde. im Bez. Zofingen, Kt. Aargau
Moosleerau	Gde. im Bez. Zofingen, Kt. Aargau
Murgenthal	Gde. im Bez. Zofingen, Kt. Aargau
Oftringen	Gde. im Bez. Zofingen, Kt. Aargau
Reitnau	Gde. im Bez. Zofingen, Kt. Aargau
Rothrist	Gde. im Bez. Zofingen, Kt. Aargau
Safenwil	Gde. im Bez. Zofingen, Kt. Aargau
Staffelbach	Gde. im Bez. Zofingen, Kt. Aargau
Strengelbach	Gde. im Bez. Zofingen, Kt. Aargau
Uerkheim	Gde. im Bez. Zofingen, Kt. Aargau
Vordemwald	Gde. im Bez. Zofingen, Kt. Aargau
Wiliberg	Gde. im Bez. Zofingen, Kt. Aargau
Zofingen	Gde. im Bez. Zofingen, Kt. Aargau
Baldingen	Gde. im Bez. Zurzach, Kt. Aargau
Böbikon	Gde. im Bez. Zurzach, Kt. Aargau
Böttstein	Gde. im Bez. Zurzach, Kt. Aargau
Döttingen	Gde. im Bez. Zurzach, Kt. Aargau
Endingen	Gde. im Bez. Zurzach, Kt. Aargau
Fisibach	Gde. im Bez. Zurzach, Kt. Aargau
Full-Reuenthal	Gde. im Bez. Zurzach, Kt. Aargau
Kaiserstuhl	Gde. im Bez. Zurzach, Kt. Aargau
Klingnau	Gde. im Bez. Zurzach, Kt. Aargau
Koblenz	Gde. im Bez. Zurzach, Kt. Aargau
Leibstadt	Gde. im Bez. Zurzach, Kt. Aargau
Lengnau	Gde. im Bez. Zurzach, Kt. Aargau
Leuggern	Gde. im Bez. Zurzach, Kt. Aargau
Mellikon	Gde. im Bez. Zurzach, Kt. Aargau
Rekingen	Gde. im Bez. Zurzach, Kt. Aargau
Rietheim	Gde. im Bez. Zurzach, Kt. Aargau
Rümikon	Gde. im Bez. Zurzach, Kt. Aargau
Schneisingen	Gde. im Bez. Zurzach, Kt. Aargau
Siglistorf	Gde. im Bez. Zurzach, Kt. Aargau
Tegerfelden	Gde. im Bez. Zurzach, Kt. Aargau
Unterendingen	Gde. im Bez. Zurzach, Kt. Aargau
Wislikofen	Gde. im Bez. Zurzach, Kt. Aargau
Bad Zurzach	Gde. im Bez. Zurzach, Kt. Aargau
Arbon	Gde. im Bez. Arbon, Kt. Thurgau
Dozwil	Gde. im Bez. Arbon, Kt. Thurgau
Egnach	Gde. im Bez. Arbon, Kt. Thurgau
Hefenhofen	Gde. im Bez. Arbon, Kt. Thurgau
Horn	Gde. im Bez. Arbon, Kt. Thurgau
Kesswil	Gde. im Bez. Arbon, Kt. Thurgau
Roggwil	Gde. im Bez. Arbon, Kt. Thurgau
Romanshorn	Gde. im Bez. Arbon, Kt. Thurgau
Salmsach	Gde. im Bez. Arbon, Kt. Thurgau
Sommeri	Gde. im Bez. Arbon, Kt. Thurgau
Uttwil	Gde. im Bez. Arbon, Kt. Thurgau
Amriswil	Gde. im Bez. Arbon, Kt. Thurgau
Bischofszell	Gde. im Bez. Weinfelden, Kt. Thurgau
Erlen	Gde. im Bez. Weinfelden, Kt. Thurgau
Hauptwil-Gottshaus	Gde. im Bez. Weinfelden, Kt. Thurgau
Hohentannen	Gde. im Bez. Weinfelden, Kt. Thurgau
Kradolf-Schönenberg	Gde. im Bez. Weinfelden, Kt. Thurgau
Sulgen	Gde. im Bez. Weinfelden, Kt. Thurgau
Zihlschlacht-Sitterdorf	Gde. im Bez. Weinfelden, Kt. Thurgau
Basadingen-Schlattingen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Diessenhofen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Schlatt	Gde. im Bez. Frauenfeld, Kt. Thurgau
Aadorf	Gde. im Bez. Münchwilen, Kt. Thurgau
Felben-Wellhausen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Frauenfeld	Gde. im Bez. Frauenfeld, Kt. Thurgau
Gachnang	Gde. im Bez. Frauenfeld, Kt. Thurgau
Hüttlingen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Matzingen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Neunforn	Gde. im Bez. Frauenfeld, Kt. Thurgau
Stettfurt	Gde. im Bez. Frauenfeld, Kt. Thurgau
Thundorf	Gde. im Bez. Frauenfeld, Kt. Thurgau
Uesslingen-Buch	Gde. im Bez. Frauenfeld, Kt. Thurgau
Warth-Weiningen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Altnau	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Bottighofen	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Ermatingen	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Gottlieben	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Güttingen	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Kemmental	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Kreuzlingen	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Langrickenbach	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Lengwil	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Münsterlingen	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Tägerwilen	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Wäldi	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Affeltrangen	Gde. im Bez. Weinfelden, Kt. Thurgau
Bettwiesen	Gde. im Bez. Münchwilen, Kt. Thurgau
Bichelsee-Balterswil	Gde. im Bez. Münchwilen, Kt. Thurgau
Braunau	Gde. im Bez. Münchwilen, Kt. Thurgau
Eschlikon	Gde. im Bez. Münchwilen, Kt. Thurgau
