ZH	Abk. Kanton Zürich
Busswil bei Melchnau	Gde. im Kr. Oberaargau, Kt. Bern
Gondiswil	Gde. im Kr. Oberaargau, Kt. Bern
Langenthal	Gde. im Kr. Oberaargau, Kt. Bern
Lotzwil	Gde. im Kr. Oberaargau, Kt. Bern
Madiswil	Gde. im Kr. Oberaargau, Kt. Bern
Melchnau	Gde. im Kr. Oberaargau, Kt. Bern
Obersteckholz	Gde. im Kr. Oberaargau, Kt. Bern
Oeschenbach	Gde. im Kr. Oberaargau, Kt. Bern
Reisiswil	Gde. im Kr. Oberaargau, Kt. Bern
Roggwil	Gde. im Kr. Oberaargau, Kt. Bern
Rohrbach	Gde. im Kr. Oberaargau, Kt. Bern
Rohrbachgraben	Gde. im Kr. Oberaargau, Kt. Bern
Rütschelen	Gde. im Kr. Oberaargau, Kt. Bern
Schwarzhäusern	Gde. im Kr. Oberaargau, Kt. Bern
Thunstetten	Gde. im Kr. Oberaargau, Kt. Bern
Ursenbach	Gde. im Kr. Oberaargau, Kt. Bern
Wynau	Gde. im Kr. Oberaargau, Kt. Bern
Bern	Gde. im Kr. Bern-Mittelland, Kt. Bern
Bolligen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Bremgarten bei Bern	Gde. im Kr. Bern-Mittelland, Kt. Bern
Kirchlindach	Gde. im Kr. Bern-Mittelland, Kt. Bern
Köniz	Gde. im Kr. Bern-Mittelland, Kt. Bern
Muri bei Bern	Gde. im Kr. Bern-Mittelland, Kt. Bern
Oberbalm	Gde. im Kr. Bern-Mittelland, Kt. Bern
Stettlen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Vechigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Wohlen bei Bern	Gde. im Kr. Bern-Mittelland, Kt. Bern
Zollikofen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Ittigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Ostermundigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
BielBienne	Gde. im Kr. BielBienne, Kt. Bern
Evilard	Gde. im Kr. BielBienne, Kt. Bern
Arch	Gde. im Kr. Seeland, Kt. Bern
Büetigen	Gde. im Kr. Seeland, Kt. Bern
Büren an der Aare	Gde. im Kr. Seeland, Kt. Bern
Diessbach bei Büren	Gde. im Kr. Seeland, Kt. Bern
Dotzigen	Gde. im Kr. Seeland, Kt. Bern
Lengnau	Gde. im Kr. BielBienne, Kt. Bern
Leuzigen	Gde. im Kr. Seeland, Kt. Bern
Meienried	Gde. im Kr. Seeland, Kt. Bern
Meinisberg	Gde. im Kr. BielBienne, Kt. Bern
Oberwil bei Büren	Gde. im Kr. Seeland, Kt. Bern
Pieterlen	Gde. im Kr. BielBienne, Kt. Bern
Rüti bei Büren	Gde. im Kr. Seeland, Kt. Bern
Wengi	Gde. im Kr. Seeland, Kt. Bern
Aefligen	Gde. im Kr. Emmental, Kt. Bern
Alchenstorf	Gde. im Kr. Emmental, Kt. Bern
Bäriswil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Burgdorf	Gde. im Kr. Emmental, Kt. Bern
Ersigen	Gde. im Kr. Emmental, Kt. Bern
Hasle bei Burgdorf	Gde. im Kr. Emmental, Kt. Bern
Heimiswil	Gde. im Kr. Emmental, Kt. Bern
Hellsau	Gde. im Kr. Emmental, Kt. Bern
Hindelbank	Gde. im Kr. Emmental, Kt. Bern
Höchstetten	Gde. im Kr. Emmental, Kt. Bern
Kernenried	Gde. im Kr. Emmental, Kt. Bern
Kirchberg	Gde. im Kr. Emmental, Kt. Bern
Koppigen	Gde. im Kr. Emmental, Kt. Bern
Krauchthal	Gde. im Kr. Emmental, Kt. Bern
Lyssach	Gde. im Kr. Emmental, Kt. Bern
Mötschwil	Gde. im Kr. Emmental, Kt. Bern
Niederösch	Gde. im Kr. Emmental, Kt. Bern
Oberburg	Gde. im Kr. Emmental, Kt. Bern
Oberösch	Gde. im Kr. Emmental, Kt. Bern
Rüdtligen-Alchenflüh	Gde. im Kr. Emmental, Kt. Bern
Rumendingen	Gde. im Kr. Emmental, Kt. Bern
Rüti bei Lyssach	Gde. im Kr. Emmental, Kt. Bern
Willadingen	Gde. im Kr. Emmental, Kt. Bern
Wynigen	Gde. im Kr. Emmental, Kt. Bern
Corgémont	Gde. im Arr. Jura bernois, Kt. Bern
Cormoret	Gde. im Arr. Jura bernois, Kt. Bern
Cortébert	Gde. im Arr. Jura bernois, Kt. Bern
Courtelary	Gde. im Arr. Jura bernois, Kt. Bern
La Ferrière	Gde. im Arr. Jura bernois, Kt. Bern
La Heutte	Gde. im Arr. Jura bernois, Kt. Bern
Mont-Tramelan	Gde. im Arr. Jura bernois, Kt. Bern
Orvin	Gde. im Arr. Jura bernois, Kt. Bern
Péry	Gde. im Arr. Jura bernois, Kt. Bern
Plagne	Gde. im Arr. Jura bernois, Kt. Bern
Renan	Gde. im Arr. Jura bernois, Kt. Bern
Romont	Gde. im Arr. Jura bernois, Kt. Bern
Saint-Imier	Gde. im Arr. Jura bernois, Kt. Bern
Sonceboz-Sombeval	Gde. im Arr. Jura bernois, Kt. Bern
Sonvilier	Gde. im Arr. Jura bernois, Kt. Bern
Tramelan	Gde. im Arr. Jura bernois, Kt. Bern
Vauffelin	Gde. im Arr. Jura bernois, Kt. Bern
Villeret	Gde. im Arr. Jura bernois, Kt. Bern
Brüttelen	Gde. im Kr. Seeland, Kt. Bern
Erlach	Gde. im Kr. Seeland, Kt. Bern
Finsterhennen	Gde. im Kr. Seeland, Kt. Bern
Gals	Gde. im Kr. Seeland, Kt. Bern
Gampelen	Gde. im Kr. Seeland, Kt. Bern
Ins	Gde. im Kr. Seeland, Kt. Bern
Lüscherz	Gde. im Kr. Seeland, Kt. Bern
Müntschemier	Gde. im Kr. Seeland, Kt. Bern
Siselen	Gde. im Kr. Seeland, Kt. Bern
Treiten	Gde. im Kr. Seeland, Kt. Bern
Tschugg	Gde. im Kr. Seeland, Kt. Bern
Vinelz	Gde. im Kr. Seeland, Kt. Bern
Bangerten	Gde. im Kr. Seeland, Kt. Bern
Bätterkinden	Gde. im Kr. Emmental, Kt. Bern
Büren zum Hof	Gde. im Kr. Bern-Mittelland, Kt. Bern
Deisswil bei Münchenbuchsee	Gde. im Kr. Bern-Mittelland, Kt. Bern
Diemerswil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Etzelkofen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Fraubrunnen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Grafenried	Gde. im Kr. Bern-Mittelland, Kt. Bern
Jegenstorf	Gde. im Kr. Bern-Mittelland, Kt. Bern
Iffwil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Limpach	Gde. im Kr. Bern-Mittelland, Kt. Bern
Mattstetten	Gde. im Kr. Bern-Mittelland, Kt. Bern
Moosseedorf	Gde. im Kr. Bern-Mittelland, Kt. Bern
Mülchi	Gde. im Kr. Bern-Mittelland, Kt. Bern
Münchenbuchsee	Gde. im Kr. Bern-Mittelland, Kt. Bern
Münchringen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Ruppoldsried	Gde. im Kr. Seeland, Kt. Bern
Schalunen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Scheunen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Urtenen-Schönbühl	Gde. im Kr. Bern-Mittelland, Kt. Bern
Utzenstorf	Gde. im Kr. Emmental, Kt. Bern
Wiggiswil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Wiler bei Utzenstorf	Gde. im Kr. Emmental, Kt. Bern
Zauggenried	Gde. im Kr. Bern-Mittelland, Kt. Bern
Zielebach	Gde. im Kr. Emmental, Kt. Bern
Zuzwil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Adelboden	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Aeschi bei Spiez	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Frutigen	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Kandergrund	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Kandersteg	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Krattigen	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Reichenbach im Kandertal	Gde. im Kr. Frutigen-Niedersimmental, Kt. Bern
Beatenberg	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Bönigen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Brienz	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Brienzwiler	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Därligen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Grindelwald	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Gsteigwiler	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Gündlischwand	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Habkern	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Hofstetten bei Brienz	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Interlaken	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Iseltwald	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Lauterbrunnen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Leissigen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Lütschental	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Matten bei Interlaken	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Niederried bei Interlaken	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Oberried am Brienzersee	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Oberried	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Ringgenberg	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Saxeten	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Schwanden bei Brienz	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Unterseen	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Wilderswil	Gde. im Kr. Interlaken-Oberhasli, Kt. Bern
Arni	Gde. im Kr. Bern-Mittelland, Kt. Bern
Biglen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Bleiken bei Oberdiessbach	Gde. im Kr. Bern-Mittelland, Kt. Bern
Bowil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Brenzikofen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Freimettigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Grosshöchstetten	Gde. im Kr. Bern-Mittelland, Kt. Bern
Häutligen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Herbligen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Kiesen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Konolfingen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Landiswil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Linden	Gde. im Kr. Bern-Mittelland, Kt. Bern
Mirchel	Gde. im Kr. Bern-Mittelland, Kt. Bern
Münsingen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Niederhünigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Oberdiessbach	Gde. im Kr. Bern-Mittelland, Kt. Bern
Oberthal	Gde. im Kr. Bern-Mittelland, Kt. Bern
Oppligen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Rubigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Schlosswil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Tägertschi	Gde. im Kr. Bern-Mittelland, Kt. Bern
Walkringen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Worb	Gde. im Kr. Bern-Mittelland, Kt. Bern
Zäziwil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Oberhünigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Allmendingen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Trimstein	Gde. im Kr. Bern-Mittelland, Kt. Bern
Wichtrach	Gde. im Kr. Bern-Mittelland, Kt. Bern
Clavaleyres	Gde. im Kr. Bern-Mittelland, Kt. Bern
Ferenbalm	Gde. im Kr. Bern-Mittelland, Kt. Bern
Frauenkappelen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Golaten	Gde. im Kr. Bern-Mittelland, Kt. Bern
Gurbrü	Gde. im Kr. Bern-Mittelland, Kt. Bern
Kriechenwil	Gde. im Kr. Bern-Mittelland, Kt. Bern
Laupen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Mühleberg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Münchenwiler	Gde. im Kr. Bern-Mittelland, Kt. Bern
Neuenegg	Gde. im Kr. Bern-Mittelland, Kt. Bern
Wileroltigen	Gde. im Kr. Bern-Mittelland, Kt. Bern
Belprahon	Gde. im Arr. Jura bernois, Kt. Bern
Bévilard	Gde. im Arr. Jura bernois, Kt. Bern
Champoz	Gde. im Arr. Jura bernois, Kt. Bern
Châtelat	Gde. im Arr. Jura bernois, Kt. Bern
Corcelles	Gde. im Arr. Jura bernois, Kt. Bern
Court	Gde. im Arr. Jura bernois, Kt. Bern
Crémines	Gde. im Arr. Jura bernois, Kt. Bern
Eschert	Gde. im Arr. Jura bernois, Kt. Bern
Grandval	Gde. im Arr. Jura bernois, Kt. Bern
Loveresse	Gde. im Arr. Jura bernois, Kt. Bern
Malleray	Gde. im Arr. Jura bernois, Kt. Bern
Monible	Gde. im Arr. Jura bernois, Kt. Bern
